,HJD,mag,mag_err,photometry_flag,frame_grade
0,2450885.81478,15.28,0.006,40,D
1,2450895.7845400004,15.308,0.005,40,C
2,2450896.8760599997,15.254000000000001,0.005,40,A
3,2450897.86327,15.338,0.005,0,B
4,2450898.87004,15.45,0.005,40,B
5,2450900.78056,15.267000000000001,0.005,40,A
6,2450911.85621,15.245999999999999,0.004,40,C
7,2450918.72375,15.302,0.008,40,D
8,2450925.73839,15.347999999999999,0.005,0,B
9,2450926.7848900002,15.252,0.005,40,C
10,2450928.72435,15.5,0.006,40,C
11,2450931.70713,15.309000000000001,0.006,40,C
12,2450933.7256099996,15.318,0.005,0,C
13,2450934.91005,15.249,0.005,40,C
14,2450937.66576,15.302,0.005,40,B
15,2450941.6524799997,15.285,0.005,0,B
16,2450945.67129,15.275,0.006999999999999999,40,D
17,2450949.73528,15.253,0.005,40,A
18,2450950.65208,15.296,0.005,40,C
19,2450952.6554099997,15.312999999999999,0.005,40,B
20,2450962.665,15.456,0.006,40,B
21,2450963.6419,15.344000000000001,0.009000000000000001,0,B
22,2450965.82022,15.305,0.006,40,D
23,2450971.8511200002,15.306,0.005,40,C
24,2450989.73925,15.533,0.006,40,C
25,2450996.68792,15.35,0.005,0,B
26,2450998.73975,15.245999999999999,0.005,40,B
27,2451005.78957,15.307,0.006,40,E
28,2451007.69484,15.309000000000001,0.005,40,C
29,2451020.67183,15.338,0.005,0,C
30,2451035.48878,15.472999999999999,0.006,40,C
31,2451040.4971,15.27,0.005,40,A
32,2451048.51248,15.244000000000002,0.005,40,B
33,2451053.4931900003,15.339,0.006,0,B
34,2451062.48639,15.344000000000001,0.006999999999999999,0,B
35,2451068.52463,15.33,0.006999999999999999,0,E
36,2451075.56604,15.277999999999999,0.006,40,C
37,2451079.6012,15.284,0.006,40,B
38,2451082.6026,15.255,0.006999999999999999,40,E
39,2451088.56471,15.517999999999999,0.006999999999999999,40,B
40,2451092.52992,15.623,0.006999999999999999,40,B
41,2451095.52789,15.373,0.006,40,C
42,2451102.55466,15.3,0.006,40,B
43,2451110.53989,15.335999999999999,0.006999999999999999,0,D
44,2451112.51218,15.267999999999999,0.008,40,E
45,2451117.5454700002,15.277000000000001,0.006,40,C
46,2451215.86268,15.251,0.006,40,C
47,2451222.8554700003,15.262,0.006,40,C
48,2451233.82939,15.289000000000001,0.006,40,D
49,2451237.84453,15.276,0.006,40,C
50,2451241.79333,15.255999999999998,0.006,40,B
51,2451245.79743,15.255999999999998,0.006,40,C
52,2451252.77605,15.298,0.006,40,C
53,2451255.7957900004,15.407,0.006,40,B
54,2451257.89696,15.287,0.006,40,C
55,2451259.7687,15.347999999999999,0.006,0,A
56,2451261.90416,15.288,0.006,40,A
57,2451263.76457,15.323,0.006,0,C
58,2451264.78034,15.242,0.006,40,D
59,2451265.88767,15.312999999999999,0.006,40,A
60,2451267.7476,15.311,0.006,40,B
61,2451268.89873,15.247,0.006,40,B
62,2451272.74427,15.253,0.006,40,C
63,2451278.7278,15.35,0.006,0,B
64,2451280.72217,15.28,0.006,40,B
65,2451281.71535,15.794,0.008,40,A
66,2451288.74295,15.321,0.006,40,A
67,2451290.81014,15.285,0.006,40,A
68,2451294.9095400004,15.259,0.006999999999999999,40,C
69,2451295.6579,15.269,0.006999999999999999,40,C
70,2451297.8087,15.34,0.006,0,A
71,2451299.75819,15.273,0.006,40,A
72,2451299.82893,15.298,0.006,40,B
73,2451306.65807,15.245999999999999,0.006,40,A
74,2451308.73306,15.515,0.006,40,A
75,2451313.74575,15.273,0.006,40,A
76,2451315.88897,15.453,0.006,40,A
77,2451315.93337,15.475999999999999,0.009000000000000001,40,E
78,2451316.82437,15.337,0.006,0,A
79,2451317.87595,15.241,0.006,40,A
80,2451318.75771,15.292,0.006,40,A
81,2451321.88626,15.241,0.006,40,C
82,2451327.82776,15.857000000000001,0.01,40,C
83,2451331.79509,15.373,0.006,40,B
84,2451333.6318900003,15.261,0.006,40,B
85,2451336.83929,15.247,0.006,40,C
86,2451340.72026,15.245,0.006,40,A
87,2451342.78376,16.271,0.01,40,A
88,2451346.59978,15.529000000000002,0.006999999999999999,40,C
89,2451347.57967,15.287,0.006,40,B
90,2451348.58328,15.245999999999999,0.006,40,D
91,2451349.57863,15.335999999999999,0.006,0,B
92,2451350.5737900003,15.998,0.009000000000000001,40,B
93,2451353.58886,15.345999999999998,0.006999999999999999,0,C
94,2451359.5791599997,15.245999999999999,0.006,40,C
95,2451361.60023,15.53,0.006999999999999999,40,C
96,2451365.55419,16.278,0.01,40,B
97,2451366.53758,15.31,0.006,40,B
98,2451367.55298,15.251,0.006,40,C
99,2451368.54157,15.329,0.006,0,A
100,2451369.55695,15.502,0.011000000000000001,0,B
101,2451370.51715,15.276,0.006,40,B
102,2451373.5298200003,15.49,0.009000000000000001,40,E
103,2451374.61102,15.265999999999998,0.006,40,C
104,2451375.5246099997,15.265999999999998,0.006,40,B
105,2451398.65589,15.299000000000001,0.005,0,A
106,2451400.63657,15.312000000000001,0.006,40,A
107,2451401.70782,15.247,0.006,40,B
108,2451403.55237,16.278,0.01,40,A
109,2451410.70568,15.555,0.011000000000000001,40,E
110,2451412.4997900003,15.280999999999999,0.008,40,C
111,2451412.52192,15.269,0.008,40,B
112,2451412.54168,15.273,0.008,40,B
113,2451412.5607,15.269,0.006999999999999999,40,B
114,2451412.5800900003,15.262,0.008,40,B
115,2451412.59993,15.257,0.006999999999999999,0,C
116,2451412.68605,15.265999999999998,0.008,40,E
117,2451417.72521,15.333,0.008,0,D
118,2451432.51783,15.280999999999999,0.006,40,C
119,2451437.49034,15.526,0.008,40,C
120,2451441.62104,16.215,0.017,0,C
121,2451443.59675,15.259,0.008,0,B
122,2451449.49606,15.390999999999998,0.006,40,C
123,2451454.4942900003,15.270999999999999,0.006999999999999999,40,F
124,2451458.50069,15.228,0.006,40,C
125,2451461.5337900002,15.286,0.006999999999999999,40,D
126,2451476.51342,15.312000000000001,0.006999999999999999,40,B
127,2451484.51083,15.314,0.006999999999999999,0,D
128,2451578.8503099997,15.332,0.006,0,C
129,2451580.84966,15.296,0.005,40,A
130,2451582.85463,15.315,0.006,40,A
131,2451584.85428,15.325999999999999,0.006,0,D
132,2451586.83438,15.302999999999999,0.006,40,B
133,2451588.86333,15.344000000000001,0.006,0,D
134,2451590.84699,15.265,0.006,40,D
135,2451592.85787,15.425999999999998,0.006,40,B
136,2451602.83328,15.248,0.006,40,B
137,2451608.81498,15.725999999999999,0.006999999999999999,40,C
138,2451614.83292,15.277999999999999,0.006,40,C
139,2451619.77727,15.537,0.006999999999999999,40,C
140,2451622.7545,15.317,0.006,40,D
141,2451624.7787099998,15.309000000000001,0.006,40,C
142,2451627.75802,15.460999999999999,0.006999999999999999,40,C
143,2451629.84714,15.280999999999999,0.008,40,B
144,2451631.78325,15.370999999999999,0.006999999999999999,40,A
145,2451634.77046,15.443,0.006,40,B
146,2451644.7131,15.245,0.005,40,C
147,2451646.70714,15.968,0.009000000000000001,40,D
148,2451652.70433,15.290999999999999,0.006,40,C
149,2451654.68843,15.35,0.006,0,B
150,2451656.71825,15.277999999999999,0.008,40,C
151,2451660.83024,15.325,0.006,0,B
152,2451662.77038,15.3,0.005,40,A
153,2451664.6588,15.315,0.005,40,B
154,2451666.71459,15.277999999999999,0.005,40,A
155,2451667.70021,15.258,0.006,40,C
156,2451669.70016,15.415999999999999,0.006,40,B
157,2451671.65144,15.264000000000001,0.006,40,D
158,2451672.65119,15.389000000000001,0.006,40,B
159,2451675.66668,15.282,0.005,40,B
160,2451677.79124,15.307,0.006,40,C
161,2451681.71976,15.288,0.006,40,C
162,2451682.80833,15.253,0.006,40,B
163,2451689.66469,15.247,0.006,40,E
164,2451693.69323,15.257,0.005,40,A
165,2451695.7780400002,15.532,0.006,40,A
166,2451699.6195,16.282,0.009000000000000001,40,A
167,2451701.69599,15.248,0.005,40,A
168,2451703.68128,15.459000000000001,0.006,40,A
169,2451705.6462,15.252,0.006,40,B
170,2451718.80632,15.504000000000001,0.008,40,D
171,2451726.88818,15.335,0.009000000000000001,0,E
172,2451728.7201,15.283,0.005,40,A
173,2451730.82056,15.322000000000001,0.006,40,C
174,2451731.74658,15.247,0.005,40,B
175,2451732.7706299997,15.297,0.005,40,B
176,2451733.5552,15.475999999999999,0.006,40,B
177,2451738.54426,15.312000000000001,0.006999999999999999,40,A
178,2451740.6685200003,15.331,0.006999999999999999,0,A
179,2451742.55565,15.280999999999999,0.006,40,A
180,2451744.5874400004,15.356,0.006,0,C
181,2451749.6253400003,15.331,0.005,0,A
182,2451750.7249,15.247,0.006,40,B
183,2451751.63902,15.300999999999998,0.005,40,A
184,2451754.7502,15.254000000000001,0.006,40,C
185,2451757.47145,15.324000000000002,0.006999999999999999,0,C
186,2451758.4754,15.242,0.006,40,C
187,2451759.6419599997,15.338,0.005,0,A
188,2451760.5088400003,16.26,0.011000000000000001,40,C
189,2451761.48155,15.305,0.006,40,C
190,2451762.47685,15.242,0.005,40,A
191,2451763.4818700003,15.339,0.005,0,A
192,2451764.48197,15.437000000000001,0.006,40,A
193,2451769.5038,15.25,0.006,40,B
194,2451770.53821,15.282,0.008,40,E
195,2451771.4783099997,15.462,0.008,40,E
196,2451772.4896,15.333,0.005,0,A
197,2451773.50417,15.235999999999999,0.005,40,A
198,2451775.5034,16.248,0.01,40,B
199,2451776.5006,15.305,0.005,40,A
200,2451777.5065200003,15.25,0.005,40,B
201,2451783.51351,15.568,0.006999999999999999,40,C
202,2451784.50068,15.274000000000001,0.006,40,B
203,2451785.49994,15.253,0.006,40,A
204,2451786.51687,15.376,0.005,40,A
205,2451787.51472,15.347999999999999,0.006,0,B
206,2451788.50475,15.259,0.004,40,B
207,2451789.4959400003,15.280999999999999,0.005,40,A
208,2451802.54293,15.399000000000001,0.006,40,B
209,2451804.4986799997,15.267000000000001,0.006,40,B
210,2451810.58398,15.309000000000001,0.006,40,B
211,2451812.6068,15.331,0.008,0,B
212,2451815.5578099997,15.247,0.006,40,C
213,2451818.54036,15.274000000000001,0.006,40,B
