# Date:     2017-10-18 19:39:03
# Database: phot
# Target:   bul2
# Query:    Ngood>=100 and Ngood<=1000 and I>=14 and I<=16 and Isig>=.1 and Isig<=.3 and Imed<=I 
# Objects:  1411
# Columns:
# Field	StarID	StarCat	RA	Decl	Pgood	I	Isig	Imed	Imederr
BUL_SC2	278797	180418.27-290151.2	18.071742	-29.03088	59	14.003	0.112	13.978	0.009
BUL_SC37	264204	175216.00-294802.9	17.871110	-29.80081	53	14.018	0.111	14.012	0.007
BUL_SC5	200524	175023.41-302216.5	17.839837	-30.37126	27	14.019	0.191	13.968	0.010
BUL_SC12	484729	181633.48-234824.1	18.275967	-23.80671	41	14.021	0.124	14.009	0.007
BUL_SC31	523410	180226.31-282709.4	18.040643	-28.45262	77	14.026	0.130	13.967	0.008
BUL_SC24	38245	175249.76-330452.3	17.880489	-33.08119	49	14.027	0.108	14.018	0.008
BUL_SC37	106	175213.98-302248.9	17.870549	-30.38025	41	14.037	0.124	14.034	0.008
BUL_SC37	81209	175210.26-295414.5	17.869517	-29.90403	60	14.038	0.144	14.031	0.008
BUL_SC37	172167	175218.58-301958.6	17.871827	-30.33294	26	14.040	0.112	14.031	0.008
BUL_SC5	339725	175039.35-301153.8	17.844264	-30.19827	60	14.052	0.191	14.003	0.008
BUL_SC3	175915	175310.50-293836.7	17.886250	-29.64353	63	14.059	0.191	14.052	0.007
BUL_SC34	63674	175755.29-291826.0	17.965357	-29.30723	92	14.078	0.161	14.042	0.008
BUL_SC37	598727	175250.30-295019.6	17.880639	-29.83878	26	14.085	0.182	14.057	0.010
BUL_SC24	47534	175248.33-325951.3	17.880091	-32.99758	53	14.087	0.146	14.075	0.009
BUL_SC34	109849	175754.03-290831.2	17.965009	-29.14200	72	14.088	0.162	14.008	0.007
BUL_SC25	274684	175423.46-323656.6	17.906518	-32.61572	45	14.090	0.101	14.082	0.007
BUL_SC37	19217	175213.99-301619.4	17.870553	-30.27205	55	14.097	0.101	14.084	0.008
